Tempo;MV;PV
0;50;53.34
0.1;50;53.34
0.2;50;53.33
0.3;50;53.33
0.4;50;53.33
0.5;50;53.32
0.6;50;53.32
0.7;50;53.32
0.8;50;53.31
0.9;50;53.31
1;50;53.31
1.1;50;53.31
1.2;50;53.3
1.3;50;53.3
1.4;50;53.3
1.5;50;53.29
1.6;50;53.29
1.7;50;53.29
1.8;50;53.28
1.9;50;53.28
2;50;53.28
2.1;50;53.28
2.2;50;53.27
2.3;50;53.27
2.4;50;53.27
2.5;50;53.26
2.6;50;53.26
2.7;50;53.26
2.8;50;53.26
2.9;50;53.25
3;50;53.25
3.1;50;53.25
3.2;50;53.25
3.3;50;53.24
3.4;50;53.24
3.5;50;53.24
3.6;50;53.24
3.7;50;53.23
3.8;50;53.23
3.9;50;53.23
4;50;53.22
4.1;50;53.22
4.2;50;53.22
4.3;50;53.22
4.4;50;53.22
4.5;50;53.21
4.6;60;53.21
4.7;60;53.21
4.8;60;53.21
4.9;60;53.2
5;60;53.2
5.1;60;53.2
5.2;60;53.2
5.3;60;53.19
5.4;60;53.19
5.5;60;53.19
5.6;60;53.19
5.7;60;53.18
5.8;60;53.18
5.9;60;53.18
6;60;53.18
6.1;60;53.18
6.2;60;53.17
6.3;60;53.17
6.4;60;53.17
6.5;60;53.17
6.6;60;53.16
6.7;60;53.16
6.8;60;53.16
6.9;60;53.16
7;60;53.16
7.1;60;53.16
7.2;60;53.16
7.3;60;53.16
7.4;60;53.16
7.5;60;53.16
7.6;60;53.16
7.7;60;53.16
7.8;60;53.16
7.9;60;53.16
8;60;53.17
8.1;60;53.17
8.2;60;53.18
8.3;60;53.18
8.4;60;53.19
8.5;60;53.2
8.6;60;53.21
8.7;60;53.21
8.8;60;53.22
8.9;60;53.24
9;60;53.25
9.1;60;53.26
9.2;60;53.27
9.3;60;53.29
9.4;60;53.3
9.5;60;53.32
9.6;60;53.34
9.7;60;53.35
9.8;60;53.37
9.9;60;53.39
10;60;53.41
10.1;60;53.44
10.2;60;53.46
10.3;60;53.48
10.4;60;53.51
10.5;60;53.53
10.6;60;53.56
10.7;60;53.58
10.8;60;53.61
10.9;60;53.64
11;60;53.67
11.1;60;53.7
11.2;60;53.73
11.3;60;53.76
11.4;60;53.79
11.5;60;53.83
11.6;60;53.87
11.7;60;53.9
11.8;60;53.94
11.9;60;53.98
12;60;54.02
12.1;60;54.06
12.2;60;54.1
12.3;60;54.14
12.4;60;54.19
12.5;60;54.23
12.6;60;54.27
12.7;60;54.32
12.8;60;54.36
12.9;60;54.4
13;60;54.45
13.1;60;54.5
13.2;60;54.54
13.3;60;54.59
13.4;60;54.64
13.5;60;54.68
13.6;60;54.73
13.7;60;54.78
13.8;60;54.83
13.9;60;54.88
14;60;54.93
14.1;60;54.98
14.2;60;55.03
14.3;60;55.08
14.4;60;55.13
14.5;60;55.18
14.6;60;55.24
14.7;60;55.29
14.8;60;55.34
14.9;60;55.39
15;60;55.44
15.1;60;55.5
15.2;60;55.55
15.3;60;55.6
15.4;60;55.66
15.5;60;55.71
15.6;60;55.76
15.7;60;55.82
15.8;60;55.87
15.9;60;55.93
16;60;55.98
16.1;60;56.03
16.2;60;56.09
16.3;60;56.14
16.4;60;56.2
16.5;60;56.25
16.6;60;56.31
16.7;60;56.36
16.8;60;56.42
16.9;60;56.47
17;60;56.53
17.1;60;56.58
17.2;60;56.63
17.3;60;56.69
17.4;60;56.74
17.5;60;56.8
17.6;60;56.85
17.7;60;56.91
17.8;60;56.96
17.9;60;57.02
18;60;57.07
18.1;60;57.12
18.2;60;57.18
18.3;60;57.23
18.4;60;57.28
18.5;60;57.34
18.6;60;57.39
18.7;60;57.44
18.8;60;57.5
18.9;60;57.55
19;60;57.6
19.1;60;57.66
19.2;60;57.71
19.3;60;57.76
19.4;60;57.81
19.5;60;57.87
19.6;60;57.92
19.7;60;57.97
19.8;60;58.02
19.9;60;58.07
20;60;58.12
20.1;60;58.17
20.2;60;58.22
20.3;60;58.27
20.4;60;58.32
20.5;60;58.37
20.6;60;58.42
20.7;60;58.47
20.8;60;58.52
20.9;60;58.57
21;60;58.62
21.1;60;58.67
21.2;60;58.71
21.3;60;58.76
21.4;60;58.81
21.5;60;58.86
21.6;60;58.9
21.7;60;58.95
21.8;60;59
21.9;60;59.04
22;60;59.09
22.1;60;59.14
22.2;60;59.18
22.3;60;59.23
22.4;60;59.27
22.5;60;59.32
22.6;60;59.36
22.7;60;59.4
22.8;60;59.45
22.9;60;59.49
23;60;59.53
23.1;60;59.57
23.2;60;59.61
23.3;60;59.65
23.4;60;59.69
23.5;60;59.73
23.6;60;59.77
23.7;60;59.81
23.8;60;59.85
23.9;60;59.89
24;60;59.93
24.1;60;59.97
24.2;60;60.01
24.3;60;60.05
24.4;60;60.08
24.5;60;60.12
24.6;60;60.16
24.7;60;60.2
24.8;60;60.23
24.9;60;60.27
25;60;60.3
25.1;60;60.34
25.2;60;60.37
25.3;60;60.41
25.4;60;60.44
25.5;60;60.48
25.6;60;60.51
25.7;60;60.55
25.8;60;60.58
25.9;60;60.61
26;60;60.65
26.1;60;60.68
26.2;60;60.71
26.3;60;60.75
26.4;60;60.78
26.5;60;60.81
26.6;60;60.84
26.7;60;60.87
26.8;60;60.9
26.9;60;60.93
27;60;60.96
27.1;60;60.99
27.2;60;61.02
27.3;60;61.05
27.4;60;61.09
27.5;60;61.12
27.6;60;61.16
27.7;60;61.2
27.8;60;61.23
27.9;60;61.26
28;60;61.3
28.1;60;61.33
28.2;60;61.37
28.3;60;61.4
28.4;60;61.43
28.5;60;61.47
28.6;60;61.5
28.7;60;61.53
28.8;60;61.56
28.9;60;61.59
29;60;61.63
29.1;60;61.66
29.2;60;61.69
29.3;60;61.72
29.4;60;61.75
29.5;60;61.78
29.6;60;61.81
29.7;60;61.84
29.8;60;61.87
29.9;60;61.89
30;60;61.92
30.1;60;61.95
30.2;60;61.98
30.3;60;62.01
30.4;60;62.03
30.5;60;62.06
30.6;60;62.09
30.7;60;62.12
30.8;60;62.14
30.9;60;62.17
31;60;62.19
31.1;60;62.22
31.2;60;62.25
31.3;60;62.27
31.4;60;62.3
31.5;60;62.32
31.6;60;62.34
31.7;60;62.37
31.8;60;62.39
31.9;60;62.42
32;60;62.44
32.1;60;62.46
32.2;60;62.49
32.3;60;62.51
32.4;60;62.53
32.5;60;62.55
32.6;60;62.58
32.7;60;62.6
32.8;60;62.62
32.9;60;62.64
33;60;62.66
33.1;60;62.68
33.2;60;62.71
33.3;60;62.73
33.4;60;62.75
33.5;60;62.77
33.6;60;62.79
33.7;60;62.81
33.8;60;62.83
33.9;60;62.85
34;60;62.87
34.1;60;62.88
34.2;60;62.9
34.3;60;62.92
34.4;60;62.94
34.5;60;62.96
34.6;60;62.97
34.7;60;62.98
34.8;60;62.99
34.9;60;63
35;60;63.01
35.1;60;63.02
35.2;60;63.03
35.3;60;63.04
35.4;60;63.05
35.5;60;63.06
35.6;60;63.07
35.7;60;63.08
35.8;60;63.09
35.9;60;63.1
36;60;63.11
36.1;60;63.12
36.2;60;63.13
36.3;60;63.14
36.4;60;63.14
36.5;60;63.15
36.6;60;63.16
36.7;60;63.17
36.8;60;63.18
36.9;60;63.19
37;60;63.19
37.1;60;63.2
37.2;60;63.21
37.3;60;63.22
37.4;60;63.23
37.5;60;63.23
37.6;60;63.24
37.7;60;63.25
37.8;60;63.25
37.9;60;63.26
38;60;63.27
38.1;60;63.28
38.2;60;63.28
38.3;60;63.29
38.4;60;63.3
38.5;60;63.3
38.6;60;63.31
38.7;60;63.32
38.8;60;63.32
38.9;60;63.33
39;60;63.33
39.1;60;63.34
39.2;60;63.35
39.3;60;63.35
39.4;60;63.36
39.5;60;63.36
39.6;60;63.37
39.7;60;63.37
39.8;60;63.38
39.9;60;63.38
40;60;63.39
40.1;60;63.4
40.2;60;63.4
40.3;60;63.41
40.4;60;63.41
40.5;60;63.42
40.6;60;63.42
40.7;60;63.42
40.8;60;63.43
40.9;60;63.43
41;60;63.44
41.1;60;63.44
41.2;60;63.45
41.3;60;63.45
41.4;60;63.46
41.5;60;63.46
41.6;60;63.46
41.7;60;63.47
41.8;60;63.47
41.9;60;63.48
42;60;63.48
42.1;60;63.48
42.2;60;63.49
42.3;60;63.49
42.4;60;63.5
42.5;60;63.5
42.6;60;63.5
42.7;60;63.51
42.8;60;63.51
42.9;60;63.51
43;60;63.52
43.1;60;63.52
43.2;60;63.52
43.3;60;63.53
43.4;60;63.53
43.5;60;63.53
43.6;60;63.53
43.7;60;63.54
43.8;60;63.54
43.9;60;63.54
44;60;63.55
44.1;60;63.55
44.2;60;63.55
44.3;60;63.55
44.4;60;63.56
44.5;60;63.56
44.6;60;63.56
44.7;60;63.57
44.8;60;63.57
44.9;60;63.57
45;60;63.57
45.1;60;63.57
45.2;60;63.58
45.3;60;63.58
45.4;60;63.58
45.5;60;63.58
45.6;60;63.59
45.7;60;63.59
45.8;60;63.59
45.9;60;63.59
46;60;63.59
46.1;60;63.6
46.2;60;63.6
46.3;60;63.6
46.4;60;63.6
46.5;60;63.6
46.6;60;63.61
46.7;60;63.61
46.8;60;63.61
46.9;60;63.61
47;60;63.61
47.1;60;63.61
47.2;60;63.62
47.3;60;63.62
47.4;60;63.62
47.5;60;63.62
47.6;60;63.63
47.7;60;63.63
47.8;60;63.64
47.9;60;63.64
48;60;63.65
48.1;60;63.65
48.2;60;63.66
48.3;60;63.66
48.4;60;63.67
48.5;60;63.67
48.6;60;63.68
48.7;60;63.68
48.8;60;63.69
48.9;60;63.69
49;60;63.7
