Tempo;PV;MV
0;82.29;80
0.1;82.48;80
0.2;83.28;80
0.3;83.47;80
0.4;83.06;80
0.5;81.89;80
0.6;83.31;80
0.7;82.99;80
0.8;83.15;80
0.9;82.06;80
1;83.09;80
1.1;83.56;80
1.2;83.24;80
1.3;82.2;80
1.4;82.4;80
1.5;83.61;80
1.6;82.5;80
1.7;83.52;80
1.8;83.2;80
1.9;83.58;80
2;82.45;80
2.1;83.56;80
2.2;82.83;80
2.3;82.18;80
2.4;82.11;80
2.5;83.44;80
2.6;83.04;80
2.7;83.3;80
2.8;82.06;80
2.9;83.07;80
3;82.06;80
3.1;83.55;80
3.2;83.01;80
3.3;82.19;40
3.4;79.33;40
3.5;75.06;40
3.6;70.96;40
3.7;66.64;40
3.8;64.15;40
3.9;61.58;40
4;58.29;40
4.1;56.88;40
4.2;57.55;40
4.3;58.09;40
4.4;57.83;40
4.5;59.98;40
4.6;63.05;40
4.7;64.71;40
4.8;67.97;40
4.9;69;40
5;71.09;40
5.1;71.39;40
5.2;71.19;40
5.3;71.01;40
5.4;70.11;40
5.5;69.33;40
5.6;69.83;40
5.7;66.98;40
5.8;66.82;40
5.9;65.01;40
6;65.46;40
6.1;63.79;40
6.2;63.28;40
6.3;63.1;40
6.4;63.64;40
6.5;63.24;40
6.6;65.29;40
6.7;64.88;40
6.8;65.5;40
6.9;66.07;40
7;67.1;40
7.1;68.65;40
7.2;67.07;40
7.3;68.61;40
7.4;67.82;40
7.5;68.26;40
7.6;67.47;40
7.7;67.63;40
7.8;66.16;40
7.9;65.96;40
8;65.88;40
8.1;65.91;40
8.2;65.87;40
8.3;65.63;40
8.4;65.21;40
8.5;65.45;40
8.6;65.65;40
8.7;65.82;40
8.8;66.32;40
8.9;67.3;40
9;67.1;40
9.1;67.36;40
9.2;67.55;40
9.3;67.74;40
9.4;67.57;40
9.5;66.49;40
9.6;66.42;40
9.7;65.76;40
9.8;66.08;40
9.9;67.09;40
10;66.42;40
10.1;67.22;40
10.2;66.15;40
10.3;65.76;40
10.4;65.57;40
10.5;65.38;40
10.6;65.73;40
10.7;66.52;40
10.8;66.94;40
10.9;67.11;40
11;65.62;40
11.1;66.63;40
11.2;66.96;40
11.3;66.52;40
11.4;65.85;40
11.5;66.54;40
11.6;66.7;40
11.7;66.07;40
11.8;65.78;40
11.9;66.34;40
12;66.22;40
12.1;66.44;40
12.2;66.94;40
12.3;66.23;40
12.4;65.79;40
12.5;65.67;40
12.6;66.3;40
12.7;65.78;40
12.8;67.13;40
12.9;66.09;40
13;65.98;40
13.1;65.75;40
13.2;67.35;40
13.3;65.89;40
13.4;65.64;40
13.5;66.71;40
13.6;65.46;40
13.7;66.6;40
13.8;66.63;40
13.9;66.58;40
14;65.65;40
14.1;66.03;40
14.2;65.71;40
14.3;66.29;40
14.4;66.76;40
14.5;65.5;40
14.6;65.45;40
14.7;65.44;40
14.8;65.52;40
14.9;66.27;40
15;67.14;40
15.1;66.35;40
15.2;66.44;40
15.3;65.69;40
15.4;67.25;40
15.5;65.79;40
15.6;65.76;40
15.7;66.69;40
15.8;66.7;40
15.9;66.71;40
16;65.58;40
16.1;66.51;40
16.2;65.47;40
16.3;65.57;40
