Tempo;MV;PV
24.5;70;77.88
24.6;70;77.92
24.7;70;77.8
24.8;70;79.26
24.9;70;78.99
25;70;79
25.1;70;79.08
25.2;70;78
25.3;70;78.42
25.4;70;77.75
25.5;70;79.49
25.6;70;78.16
25.7;70;79.62
25.8;70;78.87
25.9;70;79.64
26;70;77.73
26.1;70;79.04
26.2;70;78.99
26.3;70;79.04
26.4;70;78.52
26.5;70;79.32
26.6;70;78.77
26.7;70;78.34
26.8;70;77.94
26.9;70;78.94
27;70;78.11
27.1;70;78.04
27.2;70;78.09
27.3;70;78.45
27.4;40;77.95
27.5;40;75.46
27.6;40;73.52
27.7;40;69.71
27.8;40;67.93
27.9;40;64.13
28;40;62.53
28.1;40;61.15
28.2;40;58.79
28.3;40;60.28
28.4;40;60.45
28.5;40;60.51
28.6;40;62.48
28.7;40;63.81
28.8;40;65.82
28.9;40;66.35
29;40;68.66
29.1;40;69.51
29.2;40;70.89
29.3;40;69.42
29.4;40;70.55
29.5;40;69.8
29.6;40;68.42
29.7;40;68.36
29.8;40;67.75
29.9;40;66.9
30;40;65.21
30.1;40;65.08
30.2;40;65.39
30.3;40;64.19
30.4;40;64.23
30.5;40;65.31
30.6;40;65.42
30.7;40;64.33
30.8;40;64.79
30.9;40;66.58
31;40;66.96
31.1;40;67.48
31.2;40;66.75
31.3;40;66.9
31.4;40;67.87
31.5;40;67.85
31.6;40;67.89
31.7;40;66.97
31.8;40;67.54
31.9;40;67.27
32;40;65.62
32.1;40;66.93
32.2;40;65.03
32.3;40;66.43
32.4;40;65.95
32.5;40;65.47
32.6;40;65.09
32.7;40;65.7
32.8;40;65.43
32.9;40;65.68
33;40;67.11
33.1;40;65.58
33.2;40;66.97
33.3;40;65.79
33.4;40;66.28
33.5;40;67.33
33.6;40;67.12
33.7;40;67.19
33.8;40;65.9
33.9;40;67.1
34;40;66.01
34.1;40;66.18
34.2;40;66.52
34.3;40;65.49
34.4;40;66.03
34.5;40;65.64
34.6;40;67.07
34.7;40;66.98
34.8;40;65.97
34.9;40;66.65
35;40;67.33
35.1;40;66.44
35.2;40;65.57
35.3;40;66.35
35.4;40;66.46
35.5;40;66.01
35.6;40;67.43
35.7;40;66.34
35.8;40;65.88
35.9;40;67
36;40;66.4
36.1;40;66.66
36.2;40;66.87
36.3;40;67.01
36.4;40;65.71
36.5;40;65.37
36.6;40;65.48
36.7;40;65.43
36.8;40;65.42
36.9;40;65.61
37;40;66.4
37.1;40;66.61
37.2;40;66.52
37.3;40;66.49
37.4;40;65.57
37.5;40;66.73
37.6;40;67.07
37.7;40;65.66
37.8;40;67.3
37.9;40;66.56
38;40;66.32
38.1;40;67.03
38.2;40;65.42
38.3;40;66.06
38.4;40;67.25
38.5;40;67.25
38.6;40;65.77
38.7;40;66.98
38.8;40;67
38.9;40;67.13
39;40;66.25
39.1;40;66.24
39.2;40;66.13
39.3;40;65.89
39.4;40;67.14
39.5;40;67.23
39.6;40;66.2
39.7;40;67.37
39.8;40;65.97
39.9;40;67.31
40;40;67.39
40.1;40;66.73
40.2;40;66.81
40.3;40;66.32
40.4;40;66.35
40.5;40;66.15
40.6;40;66.35
40.7;40;66.46
40.8;40;65.46
40.9;40;66.62
41;40;65.58
41.1;40;65.53
41.2;40;67.35
41.3;40;65.75
41.4;40;66.8
41.5;40;67.25
41.6;40;66.28
41.7;40;65.47
41.8;40;66.31
41.9;40;65.87
42;40;65.81
42.1;40;66.54
42.2;40;66.43
42.3;40;66.69
42.4;40;66.29
42.5;40;65.41
42.6;40;66.82
42.7;40;66.76
42.8;40;67.17
42.9;40;65.77
43;40;66.83
43.1;40;65.64
43.2;40;66.08
43.3;40;66.58
43.4;40;66.09
43.5;40;66.85
43.6;40;66.76
43.7;40;65.67
43.8;40;66.99
